customer_id,date_of_birth,borough,neighborhood,zip_code,name,_rescued_data
372.0,01-01-2000,QUEENS,JAMAICA,11412,"Schilling, Mats",null
375.0,null,BROOKLYN,BOROUGH PARK,11204,"Klein, Julius",null
376.0,01-01-2000,MANHATTAN,LOWER MANHATTAN,10004,"Freitag, Niklas",null
380.0,null,BRONX,NORTHEAST BRONX,10470,"Bauer, Lisa",null
381.0,01-01-2000,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,10022,"Groß, Theo",null
384.0,null,BRONX,NORTHEAST BRONX,10470,"Voigt, Lea",null
394.0,12-11-1992,QUEENS,SOUTHEAST QUEENS,11411,"Ludwig, Linus",null
397.0,01-01-2000,QUEENS,SOUTHEAST QUEENS,11411,"Lehmann, Theo",null
399.0,15-04-2003,BRONX,SOUTHEAST BRONX,10461,"Zimmermann, Collin",null
401.0,12-11-2010,BRONX,HUNTS POINT AND MOTT HAVEN,10454,"Köhler, Tobias",null
403.0,null,BRONX,HIGH BRIDGE AND MORRISANIA,10452,"Horn, Elisa",null
404.0,null,QUEENS,WEST CENTRAL QUEENS,11374,"Lorenz, Nele",null
407.0,01-01-2000,QUEENS,ROCKAWAYS,11694,"Martens, Sarah",null
408.0,01-01-1999,MANHATTAN,GREENWICH VILLAGE AND SOHO,10012,"Böhm, Paul",null
409.0,null,QUEENS,ROCKAWAYS,11691,"Jäger, Theo",null
415.0,31-05-2016,QUEENS,SOUTHWEST QUEENS,11417,"Horn, Jan",null
416.0,null,MANHATTAN,LOWER MANHATTAN,10004,"Klein, Oskar",null
422.0,12-11-2004,QUEENS,SOUTHEAST QUEENS,11427,"Voigt, Katharina",null
429.0,01-01-2000,BRONX,SOUTHEAST BRONX,10462,"Dietrich, Marco",null
430.0,12-11-2010,QUEENS,JAMAICA,11436,"Engel, Helene",null
433.0,null,STATEN ISLAND,SOUTH SHORE,10308,"Wolf, Mathilda",null
435.0,01-01-2000,MANHATTAN,UPPER EAST SIDE,10075,"Linke, Timo",null
439.0,null,BROOKLYN,FLATBUSH,11225,"Seidel, Ole",null
440.0,01-01-1989,STATEN ISLAND,SOUTH SHORE,10309,"Becker, Frieda",null
441.0,22-12-1991,QUEENS,NORTHWEST QUEENS,11106,"Krämer, Collin",null
452.0,02-05-2014,BROOKLYN,SUNSET PARK,11232,"Linke, Antonia",null
454.0,01-01-1999,QUEENS,NORTHEAST QUEENS,11362,"Langer, Samuel",null
460.0,null,QUEENS,NORTHEAST QUEENS,11361,"Schütz, Fabian",null
472.0,null,BRONX,SOUTHEAST BRONX,10472,"Schreiber, Jonathan",null
474.0,01-01-2000,QUEENS,JAMAICA,11435,"Wagner, Linus",null
475.0,01-01-2000,QUEENS,WEST QUEENS,11370,"Michel, Malte",null
478.0,01-01-2000,MANHATTAN,UPPER WEST SIDE,10023,"Huber, Theo",null
479.0,16-05-2009,MANHATTAN,LOWER EAST SIDE,10009,"Bauer, Jonas",null
480.0,01-01-2000,QUEENS,SOUTHEAST QUEENS,11413,"Lehmann, Leni",null
510.0,01-01-1998,BROOKLYN,SOUTHWEST BROOKLYN,11214,"Horn, Maximilian",null
514.0,12-11-2012,MANHATTAN,LOWER EAST SIDE,10002,"Otto, Julius",null
518.0,01-01-2000,STATEN ISLAND,SOUTH SHORE,10309,"Köhler, Mila",null
541.0,05-09-2000,MANHATTAN,UPPER EAST SIDE,10065,"Simon, Jonas",null
548.0,02-02-2000,QUEENS,SOUTHWEST QUEENS,11419,"Müller, Elisa",null
549.0,null,BROOKLYN,FLATBUSH,11210,"Hahn, Ole",null
550.0,12-11-2010,MANHATTAN,LOWER MANHATTAN,10038,"Reuter, Anna",null
566.0,01-01-2000,BROOKLYN,NORTHWEST BROOKLYN,11205,"Fischer, Jakob",null
568.0,01-01-2015,BROOKLYN,CENTRAL BROOKLYN,11216,"Lang, Nele",null
573.0,01-01-2000,MANHATTAN,GREENWICH VILLAGE AND SOHO,10012,"Köhler, Julian",null
579.0,18-02-1999,MANHATTAN,UPPER EAST SIDE,10044,"Maier, Leon",null
583.0,11-01-2005,BROOKLYN,EAST NEW YORK AND NEW LOTS,11207,"Busch, Jan",null
585.0,01-01-2000,QUEENS,NORTHWEST QUEENS,11105,"Weiß, Tim",null
587.0,01-01-1999,BROOKLYN,CANARSIE AND FLATLANDS,11236,"Lange, Carlotta",null
590.0,22-06-2010,MANHATTAN,LOWER MANHATTAN,10038,"Zimmermann, Julian",null
693.0,01-01-1999,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,10017,"Richter, Lea",null
704.0,01-01-2000,BROOKLYN,EAST NEW YORK AND NEW LOTS,11208,"Groß, Emilia",null
705.0,22-04-2003,BROOKLYN,BUSHWICK AND WILLIAMSBURG,11237,"Richter, Adrian",null
716.0,null,BRONX,HIGH BRIDGE AND MORRISANIA,10456,"Schütz, Johannes",null
720.0,01-01-2000,BRONX,NORTHEAST BRONX,10469,"Wirth, Malte",null
741.0,24-12-1991,BROOKLYN,EAST NEW YORK AND NEW LOTS,11208,"Krämer, Maximilian",null
749.0,01-01-2000,MANHATTAN,LOWER MANHATTAN,10004,"Pohl, Julian",null
756.0,12-11-2010,QUEENS,SOUTHEAST QUEENS,11429,"Krüger, Maximilian",null
759.0,01-01-2000,STATEN ISLAND,SOUTH SHORE,10312,"Wagner, Luna",null
763.0,01-01-2000,BRONX,SOUTHEAST BRONX,10465,"Simon, Marco",null
766.0,27-03-1983,MANHATTAN,LOWER EAST SIDE,10002,"Reuter, Julian",null
789.0,null,BRONX,KINGSBRIDGE AND RIVERDALE,10463,"Voelker, Johannes",null
790.0,03-09-1989,QUEENS,SOUTHEAST QUEENS,11413,"Kuhn, Anton",null
792.0,16-08-2009,STATEN ISLAND,SOUTH SHORE,10309,"Lehmann, Marlene",null
798.0,null,BROOKLYN,SUNSET PARK,11232,"Groß, Lara",null
807.0,16-05-2005,STATEN ISLAND,STAPLETON AND ST. GEORGE,10305,"Günther, Marlene",null
809.0,12-11-2010,QUEENS,NORTHWEST QUEENS,11101,"Sauer, Julius",null
816.0,28-11-1990,STATEN ISLAND,SOUTH SHORE,10312,"Hartmann, Nora",null
823.0,null,MANHATTAN,CENTRAL HARLEM,10037,"Stephan, Samuel",null
862.0,null,MANHATTAN,CENTRAL HARLEM,10039,"Müller, Mila",null
882.0,01-01-1999,STATEN ISLAND,PORT RICHMOND,10303,"Winkler, Lea",null
887.0,01-01-1999,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,10017,"Weiß, Theo",null
903.0,01-01-1970,BRONX,NORTHEAST BRONX,10470,"Reuter, Greta",null
904.0,30-06-1999,MANHATTAN,CENTRAL HARLEM,10027,"Schuster, Dennis",null
908.0,null,QUEENS,WEST CENTRAL QUEENS,11375,"Sommer, Jonas",null
912.0,null,QUEENS,NORTH QUEENS,11356,"Lehmann, Nico",null
924.0,12-11-2010,BRONX,HUNTS POINT AND MOTT HAVEN,10474,"Böhm, Luca",null
929.0,10-09-2014,BROOKLYN,GREENPOINT,11222,"Stephan, Collin",null
930.0,01-01-1999,BRONX,CENTRAL BRONX,10453,"Keller, Emil",null
934.0,01-01-2000,BRONX,SOUTHEAST BRONX,10461,"Freitag, Peer",null
939.0,null,QUEENS,SOUTHEAST QUEENS,11005,"Vogel, Vincent",null
943.0,01-01-2000,BROOKLYN,BOROUGH PARK,11218,"Lehmann, Sofia",null
947.0,01-01-2000,BRONX,NORTHEAST BRONX,10475,"Simon, Maximilian",null
950.0,01-01-2000,STATEN ISLAND,PORT RICHMOND,10302,"Schäfer, Frieda",null
952.0,null,MANHATTAN,LOWER MANHATTAN,10038,"Wirth, Emma",null
969.0,null,BRONX,CENTRAL BRONX,10460,"Linke, Carlotta",null
975.0,null,MANHATTAN,LOWER MANHATTAN,10038,"Kaiser, Dennis",null
990.0,04-09-1999,QUEENS,WEST QUEENS,11369,"Lehmann, Jonathan",null
993.0,null,BROOKLYN,SOUTHERN BROOKLYN,11223,"Meyer, Mathilda",null
1001.0,14-03-2006,QUEENS,JAMAICA,11434,"Voelker, Jan",null
1002.0,28-08-2012,BRONX,KINGSBRIDGE AND RIVERDALE,10471,"Wolf, Laurin",null
1007.0,12-11-2010,QUEENS,ROCKAWAYS,11692,"Kopp, Alexander",null
1014.0,12-11-2010,QUEENS,WEST QUEENS,11368,"Otto, Sofia",null
1025.0,null,BROOKLYN,BOROUGH PARK,11204,"Horn, Leni",null
1031.0,null,BRONX,KINGSBRIDGE AND RIVERDALE,10471,"Fuchs, Luca",null
1037.0,null,MANHATTAN,CHELSEA AND CLINTON,10011,"Groß, Lina",null
1038.0,12-11-2000,QUEENS,ROCKAWAYS,11694,"Wolf, Nils",null
1047.0,01-01-2000,BROOKLYN,NORTHWEST BROOKLYN,11217,"Schröder, Ruben",null
1055.0,09-04-2005,QUEENS,ROCKAWAYS,11695,"Walter, Marie",null
1067.0,01-01-2000,QUEENS,NORTHEAST QUEENS,11361,"Simon, Collin",null
1076.0,01-01-2000,BROOKLYN,CENTRAL BROOKLYN,11238,"Böhm, Frieda",null
1080.0,20-02-1998,QUEENS,JAMAICA,11436,"Köhler, Moritz",null
1089.0,null,QUEENS,SOUTHWEST QUEENS,11421,"Graf, Lisa",null
1094.0,null,STATEN ISLAND,SOUTH SHORE,10307,"Meyer, Victoria",null
1101.0,01-01-2000,BROOKLYN,NORTHWEST BROOKLYN,11231,"Kopp, Ella",null
1111.0,01-01-2005,BROOKLYN,BOROUGH PARK,11204,"Möller, Johannes",null
1129.0,12-11-2000,BROOKLYN,SOUTHWEST BROOKLYN,11209,"Schuster, Adrian",null
1146.0,null,MANHATTAN,UPPER WEST SIDE,10024,"Wirth, Victoria",null
1173.0,01-01-2000,BROOKLYN,CENTRAL BROOKLYN,11233,"Brandt, Dominik",null
1195.0,01-01-1999,BROOKLYN,CENTRAL BROOKLYN,11238,"Jung, Luca",null
1207.0,01-01-1999,BROOKLYN,GREENPOINT,11211,"Winkler, Mathilda",null
1215.0,01-01-2000,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,10010,"Bauer, Samuel",null
1218.0,01-01-2000,QUEENS,NORTH QUEENS,11357,"Hofmann, Luisa",null
1242.0,14-05-2002,QUEENS,ROCKAWAYS,11695,"Scholz, Nils",null
1249.0,01-01-2000,MANHATTAN,UPPER EAST SIDE,10021,"Lorenz, Nils",null
1253.0,01-01-2000,QUEENS,JAMAICA,11434,"Roth, Elias",null
1254.0,01-01-2000,QUEENS,WEST QUEENS,11368,"Wagner, Peer",null
1271.0,null,QUEENS,SOUTHWEST QUEENS,11421,"Lange, Paul",null
1273.0,08-09-2009,BROOKLYN,NORTHWEST BROOKLYN,11205,"Roth, Luca",null
1283.0,01-01-2000,QUEENS,JAMAICA,11423,"Heinrichs, Melina",null
1295.0,null,QUEENS,ROCKAWAYS,11693,"Schneider, Tim",null
1304.0,21-01-1992,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,10022,"Kopp, Clara",null
1316.0,15-02-2009,STATEN ISLAND,STAPLETON AND ST. GEORGE,10301,"Baumann, Fabian",null
1326.0,01-01-2000,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,10017,"Möller, Mia",null
1336.0,09-07-2007,MANHATTAN,CHELSEA AND CLINTON,10020,"Hartmann, Mila",null
1353.0,01-01-2000,MANHATTAN,CHELSEA AND CLINTON,10018,"Vogel, Luca",null
1364.0,01-05-2000,QUEENS,ROCKAWAYS,11693,"Lehmann, Tobias",null
1365.0,25-06-1995,MANHATTAN,EAST HARLEM,10029,"Klein, Nora",null
1371.0,null,QUEENS,SOUTHWEST QUEENS,11418,"Kuhn, Lisa",null
1375.0,01-01-2000,BRONX,NORTHEAST BRONX,10469,"Voelker, Levi",null
1382.0,01-01-2000,BROOKLYN,BOROUGH PARK,11204,"Kühn, Elisa",null
1388.0,25-09-2005,QUEENS,NORTH QUEENS,11355,"Schulz, Elias",null
1425.0,01-01-2000,QUEENS,WEST QUEENS,11370,"Lang, Carlotta",null
1442.0,01-01-2000,BROOKLYN,BUSHWICK AND WILLIAMSBURG,11237,"Stark, Collin",null
1451.0,01-01-2000,BROOKLYN,BOROUGH PARK,11218,"Werner, Nele",null
1462.0,03-06-1992,MANHATTAN,CHELSEA AND CLINTON,10036,"Schilling, Hanna",null
1463.0,null,MANHATTAN,LOWER EAST SIDE,10009,"Kuhn, Sofia",null
1469.0,29-10-2005,MANHATTAN,CHELSEA AND CLINTON,10019,"Dietz, Julian",null
1478.0,null,BRONX,CENTRAL BRONX,10460,"Werner, Lennard",null
1481.0,01-01-2000,MANHATTAN,CENTRAL HARLEM,10026,"Stephan, Clara",null
1482.0,07-09-1998,BRONX,BRONX PARK AND FORDHAM,10467,"Schäfer, Julius",null
1488.0,01-01-2000,BROOKLYN,SUNSET PARK,11232,"Winkler, Maxim",null
1494.0,01-01-2000,MANHATTAN,UPPER WEST SIDE,10025,"Groß, Tim",null
1511.0,null,BRONX,HUNTS POINT AND MOTT HAVEN,10455,"Hoffmann, Luisa",null
1513.0,01-01-2008,QUEENS,JAMAICA,11412,"Schäfer, Samuel",null
1516.0,null,QUEENS,SOUTHEAST QUEENS,11428,"Kuhnert, Julian",null
1517.0,12-11-2004,MANHATTAN,LOWER MANHATTAN,10005,"Schuster, Paul",null
1520.0,05-09-2017,BROOKLYN,EAST NEW YORK AND NEW LOTS,11208,"Reuter, Dennis",null
1527.0,null,QUEENS,ROCKAWAYS,11693,"Groß, Sebastian",null
1530.0,01-01-2000,STATEN ISLAND,PORT RICHMOND,10310,"Dietrich, Oskar",null
1533.0,01-01-2000,BRONX,KINGSBRIDGE AND RIVERDALE,10471,"Barth, Melina",null
1538.0,18-10-1975,BRONX,HUNTS POINT AND MOTT HAVEN,10454,"Fischer, Alexander",null
1557.0,01-01-2000,MANHATTAN,UPPER WEST SIDE,10025,"Meyer, Kilian",null
1567.0,26-10-2008,MANHATTAN,CHELSEA AND CLINTON,10020,"Winkler, Simon",null
1595.0,12-11-2005,MANHATTAN,CHELSEA AND CLINTON,10018,"Langer, Julius",null
1603.0,25-09-2002,BRONX,SOUTHEAST BRONX,10461,"Hofmann, Leon",null
1618.0,null,BRONX,HIGH BRIDGE AND MORRISANIA,10452,"Weiß, Marlene",null
1623.0,01-01-2000,MANHATTAN,LOWER EAST SIDE,10002,"Kaiser, Nico",null
1635.0,24-01-2014,QUEENS,SOUTHWEST QUEENS,11419,"Möller, Victoria",null
1655.0,14-10-2000,QUEENS,NORTHEAST QUEENS,11362,"Jäger, Leni",null
1659.0,01-10-2007,QUEENS,NORTH QUEENS,11360,"Voigt, Timo",null
1660.0,null,BRONX,HUNTS POINT AND MOTT HAVEN,10459,"Stark, Emma",null
1891.0,null,BROOKLYN,EAST NEW YORK AND NEW LOTS,11208,"Bauer, Anton",null
1894.0,01-01-2005,MANHATTAN,LOWER MANHATTAN,10038,"Stephan, Levi",null
1905.0,01-01-2000,BRONX,SOUTHEAST BRONX,10472,"Linke, Johannes",null
1912.0,17-05-2006,QUEENS,ROCKAWAYS,11693,"Wirth, Maximilian",null
1930.0,12-11-2008,QUEENS,CENTRAL QUEENS,11365,"Michel, David",null
1933.0,null,QUEENS,WEST CENTRAL QUEENS,11374,"Voelker, Emil",null
1935.0,01-01-1999,MANHATTAN,LOWER MANHATTAN,10007,"Schwarz, Victoria",null
1942.0,01-01-2000,STATEN ISLAND,SOUTH SHORE,10306,"Hahn, Hanna",null
1947.0,02-04-2012,MANHATTAN,LOWER MANHATTAN,10006,"Schmid, Finn",null
1954.0,16-05-1998,BRONX,CENTRAL BRONX,10457,"Fischer, Amelie",null
1957.0,01-02-2006,BROOKLYN,CANARSIE AND FLATLANDS,11239,"Scholten, Mia",null
1961.0,null,BROOKLYN,EAST NEW YORK AND NEW LOTS,11207,"Ludwig, Nele",null
1965.0,20-01-1974,BROOKLYN,FLATBUSH,11226,"Schreiber, Florian",null
1973.0,12-11-2010,STATEN ISLAND,SOUTH SHORE,10309,"Langer, Kilian",null
1981.0,01-01-2000,BROOKLYN,FLATBUSH,11226,"Roth, Alexander",null
1989.0,01-01-2000,BROOKLYN,GREENPOINT,11222,"Linke, Elias",null
2020.0,null,STATEN ISLAND,MID-ISLAND,10314,"Hartmann, Marie",null
2021.0,01-01-2000,BROOKLYN,BOROUGH PARK,11219,"Huber, Aaron",null
2045.0,01-01-2000,BRONX,NORTHEAST BRONX,10469,"Huber, Nico",null
2052.0,01-01-2000,BROOKLYN,GREENPOINT,11211,"Weber, Laurin",null
2057.0,null,QUEENS,SOUTHWEST QUEENS,11416,"Werner, Theo",null
2063.0,null,BROOKLYN,BOROUGH PARK,11230,"Krüger, Nele",null
2071.0,01-01-2000,QUEENS,WEST QUEENS,11373,"Köhler, Lea",null
2079.0,25-06-2009,STATEN ISLAND,MID-ISLAND,10314,"Schneider, Paul",null
2092.0,01-01-2000,BROOKLYN,CANARSIE AND FLATLANDS,11236,"Horn, Frieda",null
2108.0,01-01-2000,BROOKLYN,FLATBUSH,11210,"Krüger, Elias",null
2115.0,12-11-2010,MANHATTAN,UPPER EAST SIDE,10021,"Beck, Emilia",null
2118.0,01-01-2000,STATEN ISLAND,PORT RICHMOND,10310,"Neumann, Ruben",null
2122.0,null,BRONX,HIGH BRIDGE AND MORRISANIA,10451,"Weber, Luis",null
2135.0,12-11-2010,QUEENS,JAMAICA,11432,"Walter, Leni",null
2137.0,null,BROOKLYN,CANARSIE AND FLATLANDS,11236,"Zimmermann, Fabian",null
2138.0,01-01-2000,QUEENS,SOUTHEAST QUEENS,11004,"Kühn, Alina",null
2146.0,null,MANHATTAN,LOWER MANHATTAN,10038,"Weber, Johannes",null
2151.0,02-05-1986,QUEENS,NORTH QUEENS,11360,"Baumann, Nils",null
2156.0,12-11-2010,QUEENS,SOUTHEAST QUEENS,11005,"Seidel, Marco",null
2187.0,15-09-2005,QUEENS,ROCKAWAYS,11697,"Heinrich, Laurin",null
2188.0,01-01-1999,MANHATTAN,UPPER EAST SIDE,10028,"Sauer, Malte",null
2213.0,null,STATEN ISLAND,STAPLETON AND ST. GEORGE,10301,"Fuchs, Clara",null
2218.0,null,QUEENS,NORTHEAST QUEENS,11364,"Schilling, Collin",null
2224.0,07-06-2004,STATEN ISLAND,PORT RICHMOND,10310,"Zimmermann, Oskar",null
2245.0,12-11-2010,MANHATTAN,CHELSEA AND CLINTON,10036,"Heinrichs, Charlotte",null
2254.0,02-09-2009,BROOKLYN,NORTHWEST BROOKLYN,11217,"Heinrichs, David",null
2270.0,01-01-2000,QUEENS,NORTH QUEENS,11357,"Maier, Hannes",null
2272.0,16-01-2000,QUEENS,NORTHEAST QUEENS,11362,"Scholz, Noah",null
2297.0,12-11-2010,QUEENS,WEST CENTRAL QUEENS,11375,"Huber, Fabian",null
2300.0,null,MANHATTAN,LOWER MANHATTAN,10006,"Maier, Emma",null
2319.0,01-01-2000,BRONX,BRONX PARK AND FORDHAM,10467,"Pohl, Paula",null
2339.0,18-08-2003,QUEENS,NORTH QUEENS,11357,"Kopp, Ruben",null
2344.0,01-01-1999,MANHATTAN,CHELSEA AND CLINTON,10001,"Lange, Tim",null
2359.0,null,BROOKLYN,CENTRAL BROOKLYN,11213,"Reuter, Collin",null
2377.0,08-06-2008,BROOKLYN,EAST NEW YORK AND NEW LOTS,11207,"Schütz, Frieda",null
2381.0,04-05-2016,QUEENS,NORTH QUEENS,11355,"Krämer, Emil",null
2386.0,01-01-1999,MANHATTAN,LOWER MANHATTAN,10006,"Simon, Charlotte",null
2427.0,01-01-2000,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,10016,"Jäger, Nele",null
2437.0,null,BROOKLYN,SUNSET PARK,11232,"Schmitt, Nils",null
2448.0,null,STATEN ISLAND,SOUTH SHORE,10308,"Krüger, Carlotta",null
2459.0,15-06-2003,QUEENS,ROCKAWAYS,11693,"Werner, Noah",null
2462.0,01-01-1999,QUEENS,WEST QUEENS,11370,"Schmid, Vincent",null
2482.0,null,QUEENS,NORTH QUEENS,11355,"Dietrich, Jakob",null
2488.0,18-05-2008,MANHATTAN,LOWER MANHATTAN,10004,"Braun, Carlotta",null
2505.0,12-11-2010,QUEENS,JAMAICA,11432,"Günther, Mats",null
2523.0,15-11-1995,QUEENS,SOUTHWEST QUEENS,11414,"Koch, Luna",null
2525.0,01-01-2000,QUEENS,ROCKAWAYS,11695,"Klein, Pascal",null
2526.0,null,QUEENS,CENTRAL QUEENS,11365,"Wirth, Samuel",null
2530.0,12-11-2010,BROOKLYN,FLATBUSH,11203,"Schmitt, Paula",null
2547.0,01-01-2000,QUEENS,SOUTHWEST QUEENS,11414,"Braun, Jakob",null
2549.0,null,QUEENS,NORTHWEST QUEENS,11104,"Busch, Leon",null
2556.0,01-01-2000,QUEENS,NORTH QUEENS,11356,"Voelker, Katharina",null
2564.0,null,BROOKLYN,FLATBUSH,11210,"Kühn, Mats",null
